"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cufalcon: An Adaptive Parallel GPU Implementation for High-Performance Falcon Acceleration","W. Li; H. Wei; S. Shen; H. Yang; W. Dai; Y. Zhao","School of Computer Science, Fudan University, Shanghai, China; School of Computer Science, Fudan University, Shanghai, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China; School of Cyber Science and Technology, Sun Yatsen University, Shenzhen, China; School of Computer Science, Fudan University, Shanghai, China",IEEE Transactions on Parallel and Distributed Systems,"","2026","PP","99","1","16","The rapid advancement of quantum computing has ushered in a new era of post-quantum cryptography, urgently demanding quantum-resistant digital signatures to secure modern communications and transactions. Among NIST-standardized candidates, Falcon stands out because it is a compact lattice-based signature scheme suitable for size-sensitive applications. In this paper, we present cuFalcon, a high-throughput GPU implementation of Falcon that addresses its computational bottlenecks through adaptive parallel strategies. At the operational level, we optimize Falcon key components for GPU architectures through memory-efficient FFT, adaptive parallel ffSampling, and a compact computation mode. For signature-level optimization, to improve scalability across different GPU architectures, we implement three versions of cuFalcon: the raw key version, the expanded key version, and the balanced version. Additionally, we design batch processing, streaming mechanisms, and memory pooling to handle multiple signature tasks efficiently. Ultimately, performance evaluations show significant improvements, with the raw key version achieving 172 k signatures per second and the expanded key version reaching 201 k. Compared to the raw key version, the balanced version achieves a 7% improvement in throughput, while compared to the expanded key version, it reduces memory usage by 70%. Furthermore, our raw key version implementation outperforms the reference implementation by 36.74 × and achieves a 2.71× speedup over the state-of-the-art GPU implementation.","1558-2183","","10.1109/TPDS.2026.3675891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11443236","Falcon;fast fourier sampling;GPU acceleration;post-quantum cryptography","Graphics processing units;Fast Fourier transforms;Vectors;Parallel processing;Memory management;Trees (botanical);Polynomials;Optimization;Cryptography;Scalability","","","","","IEEE","19 Mar 2026","","","IEEE","IEEE Early Access Articles"
"Post-Quantum HAWK Signature Acceleration with RISC-V-Based Hardware-Software Co-Design","R. Shrivastava; U. Banerjee","Electronic Systems Engineering, Indian Institute of Science, Bengaluru, India; Electronic Systems Engineering, Indian Institute of Science, Bengaluru, India",2026 39th International Conference on VLSI Design & 25th International Conference on Embedded Systems (VLSID),"17 Mar 2026","2026","","","437","442","Advances in quantum computing technology have motivated the development of post-quantum cryptography (PQC) algorithms. HAWK is a new post-quantum digital signature scheme and the only lattice-based candidate selected for Round 2 of the “Additional Digital Signatures” phase of the NIST PQC Standardization process. HAWK offers compact key and signature sizes compared to NIST standard ML-DSA (Dilithium), and its simple design avoids the use of floating-point arithmetic unlike NIST standard FN-DSA (FALCON). This makes HAWK very well suited for resource-constrained applications. We perform software runtime profiling of HAWK signature computation and verification on a resource-efficient Vex RISC-V processor core, and identify Keccak permutations and polynomial transformations as the most computationally expensive functions. In this work, we demonstrate light-weight hardware-software co-design of HAWK with these operations accelerated using Vex RISC-V Custom Function Units and accompanying custom instructions. We present multiple design variants with different degrees of acceleration, and our best design achieves $\approx 3 \times$ speedup and $\approx 40 \%$ reduction in area-time-product compared to the baseline when implemented on a Xilinx Artix-7 FPGA.","2380-6923","979-8-3315-9040-6","10.1109/VLSID68508.2026.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11433250","post-quantum cryptography;digital signature;NIST PQC;HAWK;lattice;Keccak;NTT;FFT;Vex RISC-V;CFU;custom instructions;hardware acceleration;FPGA;IoT","Runtime;Quantum computing;Standardization;NIST Standards;NIST;Software;Polynomials;Cryptography;Digital signatures;Field programmable gate arrays","","","","20","IEEE","17 Mar 2026","3-7 Jan. 2026","3-7 Jan. 2026","IEEE","IEEE Conferences"
"SERP-SCA: A Strengthened Side-Channel Attack Framework for FALCON Signature","S. Chen; H. Shao; J. Ming; Y. Liu; Y. Gao; Y. Zhou","School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"23 Mar 2026","2026","45","4","2028","2040","The National Institute of Standards and Technology (NIST) has selected Falcon as one of the standardized post-quantum digital signature algorithms, making the security of Falcon against side-channel attacks (SCAs) a critical area of concern. This article introduces SERP-SCA, a strengthened SCA framework for Falcon, which exploits leakage from floating-point multiplications to recover secret floating-point values, which can subsequently be mapped to the coefficients of the secret key. The framework adopts a divide-and-conquer strategy to target the mantissa, exponent, and sign bit of floating-point values, with specialized optimizations for attacks on the mantissa and exponent. For mantissa attacks, SERP-SCA integrates bit segmentation with a sequential attack strategy to fully exploit the leakage from mantissa multiplication and incorporates an error-correction mechanism (EC-Mechanism) to further enhance attack efficiency. For exponent attacks, SERP-SCA leverages fast Fourier transform (FFT) properties to narrow the enumeration space, significantly improving time efficiency. We conduct practical attacks on Falcon-512 and Falcon-1024 implementations running on ARM Cortex-M4. Compared with state-of-the-art methods, SERP-SCA achieves an improvement of 22.11% in success rate (SR) for Falcon-512 and 18.64% for Falcon-1024, with remarkable time efficiency gains of around 195  $369\times $  and 183  $175\times $  for mantissa attacks, and  $180\times $  and  $185\times $  for exponent attacks, respectively.","1937-4151","","10.1109/TCAD.2025.3608056","National Key Research and Development Program of China(grant numbers:2022YFB3103800); National Natural Science Foundation of China(grant numbers:U2336205,62202230,62202231,62302224,62302226); Yunnan Provincial New Research and Development Institution Cultivation Project(grant numbers:202404BQ040148); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11153992","Falcon;fast Fourier transform (FFT);post-quantum cryptography (PQC);side-channel attacks (SCAs)","Polynomials;Cryptography;NIST;Fast Fourier transforms;Digital signatures;Threat modeling;Side-channel attacks;Public key;Mathematical models;Data mining","","","","43","IEEE","9 Sep 2025","April 2026","","IEEE","IEEE Journals"
"Deus Ex LLMs: AI vs Humans in Post-Quantum Cryptographic Hardware Code Generation","E. Cornett; R. Magesh; S. Pendyala; E. B. Kavun; A. Aysu","Department of Electrical and Computer Engineering, HECTOR Research Lab, North Carolina State University, USA; Department of Electrical and Computer Engineering, HECTOR Research Lab, North Carolina State University, USA; Department of Electrical and Computer Engineering, HECTOR Research Lab, North Carolina State University, USA; Barkhausen Institut, Germany; Department of Electrical and Computer Engineering, HECTOR Research Lab, North Carolina State University, USA",2025 IFIP/IEEE 33rd International Conference on Very Large Scale Integration (VLSI-SoC),"12 Mar 2026","2025","","","1","5","Emerging Post-Quantum Cryptographic (PQC) schemes such as FALCON demand highly optimized hardware implementations to meet strict area and execution time constraints on embedded devices. Traditional hardware designs rely heavily on expert-crafted Register Transfer Level (RTL) or High Level Synthesis (HLS) code, which is time-consuming and error-prone. In this work, we explore the use of large language models (LLMs) for accelerating the development of cryptographic hardware, focusing on FALCON’s performance-critical Samplerz subroutine. We propose a design flow that iteratively leverages LLMs to generate, refine, and evaluate synthesizable C code using HLS tools. We analyze generated designs across a range of models (e.g., GPT-4, Claude, Gemini, Grok), compare them with prior hand-crafted RTL designs, and report implementation metrics including Area-Delay Product (ADP) and synthesis convergence. Alongside achieving implementations within 4% execution time and 30% area of expert-tuned code, our results demonstrate that LLMs can discover novel hardware optimizations. We finally identify key challenges in prompt engineering, numerical stability, and testbench overfitting, and provide actionable recommendations for future AI-assisted hardware design frameworks.","2324-8440","979-8-3315-9812-9","10.1109/VLSI-SoC64688.2025.11421711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11421711","AI;LLMs;Post-Quantum Cryptography;HLS;FALCON","Codes;Algorithms;Reviews;Very large scale integration;Register transfer level;Hardware;Remote working;Cryptography;Time factors;Optimization","","","","36","IEEE","12 Mar 2026","12-15 Oct. 2025","12-15 Oct. 2025","IEEE","IEEE Conferences"
"Masked Gadgets for Integer-Floating-Point Conversion with Applications to Falcon","S. Chen; J. Ming; Y. Liu; Y. Gao; Y. Zhou","School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Cyber Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",2025 IEEE 43rd International Conference on Computer Design (ICCD),"30 Dec 2025","2025","","","507","514","Falcon has been selected by the National Institute of Standards and Technology (NIST) as one of the standardized post-quantum digital signature algorithms. Unlike other candidate algorithms, Falcon relies heavily on floating-point operations, which are known to be vulnerable to side-channel attacks (SCAs). Although recent research proposes masking schemes for basic floating-point operations, secure conversion between integer and floating-point representations remains unaddressed. These conversions operate directly on the private key or other sensitive variables and therefore constitute a potential attack surface. This paper proposes new masking gadgets that securely perform conversions between integers and floating-point representations, addressing this previously unprotected surface. As part of the design, we optimize existing normalization and floating-point composition components to support the conversion process. We formally prove that our gadgets satisfy $t$-Non-Interference $(t-\text{NI})$ or $t$-Strong Non-Interference ($t$-SNI) in the probing model and evaluate their side-channel resistance using Test Vector Leakage Assessment (TVLA) on an Arm Cortex-M4 processor. We also assess performance on an Intel Core CPU, where the optimized normalization and floating-point composition components demonstrate improvements of approximately 47.6 % and 10.8 %, respectively, over prior work.","2576-6996","979-8-3315-0346-8","10.1109/ICCD65941.2025.00078","National Key R&D Program of China(grant numbers:2022YFB3103800); National Natural Science Foundation of China(grant numbers:U2336205,62202230,62202231,62302224,62302226); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11310958","Post-Quantum Cryptography;Integer-FloatingPoint Conversion;Masking;Falcon","Surface resistance;Computational modeling;Side-channel attacks;NIST;Vectors;Surface treatment;Digital signatures","","","","18","IEEE","30 Dec 2025","10-12 Nov. 2025","10-12 Nov. 2025","IEEE","IEEE Conferences"
"Algorithm and Hardware Co-Design Exploration for NTRU Equation Solving","J. -H. Liao; M. -D. Shieh","Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan, R.O.C; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan, R.O.C","2025 32nd IEEE International Conference on Electronics, Circuits and Systems (ICECS)","9 Dec 2025","2025","","","1","4","With the rapid advancement of quantum computing technologies, traditional public-key algorithms face the threat of being broken. Falcon, now standardized for digital signatures in post-quantum cryptography, relies heavily on repeated FFT, NTT, RNS and CRT operations during its key-generation phase. Since each of these modules contributes similarly to the total computation, standalone optimization yields only marginal gains. This paper presents a dedicated hardware accelerator design that unifies arithmetic units at the microarchitectural level and explores efficient parallel structures to shorten the critical path and enhance throughput. We target the three core routines, Field Norm, Lift and Reduce, by tailoring dataflows and dynamic switching strategies to prime bit-width and algorithmic complexity. Additionally, we adopt a compact SRAM partitioning scheme to achieve conflict-free data arrangement and efficient coexistence of all intermediate values. Post-layout simulations of our design in a 40-nm process indicate a footprint of 1.987 mm2 at 333 MHz, achieving approximately a 6× speedup over a software reference and a 100× improvement compared to a high-level-synthesis based hardware prototype.","2995-0589","979-8-3315-9585-2","10.1109/ICECS66544.2025.11270592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11270592","PQC;Falcon;KeyGen;FFT;NTT;CRT","Heuristic algorithms;Software algorithms;Switches;Approximation algorithms;Throughput;Mathematical models;Software;Resource management;Hardware acceleration;Arithmetic","","","","8","IEEE","9 Dec 2025","17-19 Nov. 2025","17-19 Nov. 2025","IEEE","IEEE Conferences"
"A Low-Latency Key Generation Accelerator Based on the Falcon Algorithm","L. He; H. Hu; Z. Cao","School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China; School of Microelectronics, Hefei University of Technology, Hefei, China",2025 4th International Conference on Electronic Information Technology (EIT),"14 Nov 2025","2025","","","126","130","The rapid advancement of quantum computing critically threatens traditional public-key cryptosystems, urgently requiring practical deployment of Post-Quantum Cryptography (PQC). This work addresses the latency challenge in key generation for the National Institute of Standards and Technology (NIST)-standardized Falcon algorithm by proposing a pure hardware-based accelerator architecture. The architecture optimizes three components: double-precision floating-point FFT/IFFT, and discrete Gaussian sampling. Through pipelined parallelism and reconfigurable butterfly units, 1024-point FFT/IFFT transformations are completed in 780 cycles (23.2% latency reduction). A parallel padding strategy and rapid screening mechanism minimize redundant Gaussian sampling computations. On the Xilinx XC7VX485T platform, the FFT/IFFT core consumes 166,947 LUTs, 133,091 FFs, and 324 DSPs, with the full architecture achieving 6 μs latency at 130 MHz. This provides an efficient hardware foundation for low-latency post-quantum cryptography in IoT and edge devices","","979-8-3315-7605-9","10.1109/EIT67313.2025.11231850","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11231850","PQC;Double-Precision Floating-Point;Key Generation;Hardware Implementation;Low Latency","Quantum computing;Parallel processing;NIST;Public key cryptography;Table lookup;Cryptography;Low latency communication;Information technology;Hardware acceleration;Field programmable gate arrays","","","","11","IEEE","14 Nov 2025","22-24 Aug. 2025","22-24 Aug. 2025","IEEE","IEEE Conferences"
"GOLF: Unleashing GPU-Driven Acceleration for FALCON Post-Quantum Cryptography","R. Dai; J. Dong; M. Qiu; Z. Dong; F. Xiao; J. Lin","School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Computer Science, Nanjing University of Posts and Telecommunications, Nanjing, China; School of Cyber Security, University of Science and Technology of China, Hefei, China",IEEE Transactions on Information Forensics and Security,"15 Sep 2025","2025","20","","9441","9453","Quantum computers leverage qubits to solve certain computational problems significantly faster than classical computers. This capability poses a severe threat to traditional cryptographic algorithms, leading to the rise of post-quantum cryptography (PQC) designed to withstand quantum attacks. FALCON, a lattice-based signature algorithm, has been selected by the National Institute of Standards and Technology (NIST) as part of its post-quantum cryptography standardization process. However, due to the computational complexity of PQC, especially in cloud-based environments, throughput limitations during peak demand periods have become a bottleneck, particularly for FALCON. In this paper, we introduce GOLF (GPU-accelerated Optimization for Lattice-based FALCON), a novel GPU-based parallel acceleration framework for FALCON. GOLF includes algorithm porting to the GPU, compatibility modifications, multi-threaded parallelism with distinct data, single-thread optimization for single tasks, and specific enhancements to the Fast Fourier Transform (FFT) module within FALCON. Our approach achieves unprecedented performance in FALCON acceleration on GPUs, setting the highest throughput record in the history of FALCON digital signature generation and verification. On the NVIDIA RTX 4090, GOLF reaches a signature generation throughput of 420.25 kops/s and a signature verification throughput of 10,311.04 kops/s. These results represent a  $58.05\times $  /  $73.14\times $  improvement over the reference FALCON implementation and a  $7.17\times $  /  $3.79\times $  improvement compared to the fastest known GPU implementation to date. Additionally, since we have not modified the content of the algorithm, but only optimized its engineering implementation, the security of the algorithm has not changed, and the security of the original algorithm has been maintained. GOLF demonstrates that GPU acceleration is not only feasible for post-quantum cryptography but also crucial for addressing throughput bottlenecks in real-world applications.","1556-6021","","10.1109/TIFS.2025.3599681","Primary Research and Development Plan of Jiangsu Province(grant numbers:BE2023025); National Natural Science Foundation of China(grant numbers:62572255,62302238,62372245); Natural Science Foundation of Jiangsu Province(grant numbers:BK20220388); China Postdoctoral Science Foundation(grant numbers:2025T180411); China Computer Federation (CCF)-Tencent Rhino-Bird Open Research Fund(grant numbers:CCF-Tencent RAGR20240129); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11129029","GPU;FALCON;post-quantum cryptography;CUDA","Graphics processing units;Throughput;Fast Fourier transforms;Polynomials;Parallel processing;NIST;Computers;Handwriting recognition;Encryption;Digital signatures","","2","","31","IEEE","18 Aug 2025","2025","","IEEE","IEEE Journals"
"A Flexible Hardware Design Tool for Fast Fourier and Number-Theoretic Transformation Architectures","F. Krieger; F. Hirner; A. C. Mert; S. S. Roy","Institute of Information Security TU Graz, Austria; Institute of Information Security TU Graz, Austria; Institute of Information Security TU Graz, Austria; Institute of Information Security TU Graz, Austria",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,"","2025","PP","99","1","1","Fully Homomorphic Encryption (FHE) and Post-Quantum Cryptography (PQC) involve polynomial multiplications, which are a common performance bottleneck. To resolve this bottleneck, polynomial multiplications are often accelerated in hardware using the Number-Theoretic Transformation (NTT) or the Fast Fourier Transformation (FFT). In particular, NTT operates over modular rings while FFT operates over complex numbers. NTT and FFT are widely deployed in applications with diverse parameter sets, leading to long design times for hardware accelerators. Existing hardware generation tools have limited functionality since they do not support generic onthe-fly twiddle factor generation or different memory-related optimizations. This paper improves the hardware design process and presents a generic and flexible tool to generate FFT and NTT architectures. In contrast to prior work, we combine on-the-fly twiddle factor generation and stall-free memory accesses. Moreover, we enhance hardware design flexibility through memory-optimized or routing-optimized design strategies. While our memory-optimized strategy minimizes twiddle factors in ROM, our routing-optimized strategy allows significantly higher clock frequencies on FPGAs. These optimization strategies allow effective customization of NTT/FFT architectures, spanning from low-end PQC to high-end FHE accelerators. Compared to existing works, we reach up to 15.9W lower latency and up to 7.4W improved ATP for FFT applications such as the Falcon signature scheme. Considering other NTT tools, we decrease latency by up to 1.8W and 2W for PQC and FHE parameter sets, respectively.","1937-4151","","10.1109/TCAD.2025.3595834","State Government of Styria, Austria ? Department Zukunftsfonds Steiermark; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11112724","Hardware Design Tool;NTT;FFT;Twiddle Factor Generation;Fully Homomorphic Encryption (FHE)","Polynomials;Hardware;Fast Fourier transforms;Memory management;Cryptography;Read only memory;Optimization;Design tools;System-on-chip;Arithmetic","","","","","CCBY","4 Aug 2025","","","IEEE","IEEE Early Access Articles"
"A Unified FFT/NTT Design for Efficient NTRU Equation Solving in FALCON Cryptography","J. -H. Liao; K. -T. Cho; M. -D. Shieh","Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan R.O.C; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan R.O.C; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan R.O.C",2025 IEEE International Symposium on Circuits and Systems (ISCAS),"27 Jun 2025","2025","","","1","5","Post-Quantum Cryptography has garnered significant attention with the rapid development of quantum computing. FALCON, a lattice-based quantum-resistant digital signature scheme, has been standardized. During the key pair generation process, solving the NTRU equation based on Galois theory is required. The simultaneous use of two distinct algebraic structures, $\mathbb{Q}[x]/\left( {{x^n} + 1} \right)$ and $\mathbb{Z}[x]/\left( {{x^n} + 1} \right)$, where n is a power of 2, presents challenges in hardware design. This paper proposes a hardware accelerator specifically customized for FFT/IFFT and NTT/INTT operations on rings under different point numbers. The design incorporates conflict-free scheduling for memory access and the selection of twiddle factors across various radices. The proposed design occupies an area of 0.54 mm2 and operates at a frequency of 333 MHz based on the synthesis results using 40nm technology. Compared to existing FFT/IFFT design on rings, the proposed one reduces the area requirement of processing elements by 33% without increasing the overall execution time. Moreover, our design supports both 64-bit radix-4 and 128-bit radix-2 NTT/INTT. This solution effectively addresses the two transformations required for key pair generation in FALCON.","2158-1525","979-8-3503-5683-0","10.1109/ISCAS56072.2025.11043318","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11043318","PQC;FALCON;ASIC;FFT/IFFT;NTT/INTT","Frequency synthesizers;Quantum computing;Circuits and systems;Memory management;Reconfigurable architectures;Computational efficiency;Cryptography;Hardware acceleration;Digital signatures","","2","","11","IEEE","27 Jun 2025","25-28 May 2025","25-28 May 2025","IEEE","IEEE Conferences"
"Compact FALCON FFT/NTT Accelerator for Post-Quantum Cryptography","D. -T. Dam; T. -H. Tran; T. -H. Nguyen; T. -T. Hoang; C. -K. Pham","University of Electro-Communications (UEC), Tokyo, Japan; University of Electro-Communications (UEC), Tokyo, Japan; University of Electro-Communications (UEC), Tokyo, Japan; University of Electro-Communications (UEC), Tokyo, Japan; University of Electro-Communications (UEC), Tokyo, Japan",2025 IEEE International Symposium on Circuits and Systems (ISCAS),"27 Jun 2025","2025","","","1","5","FALCON is one of four algorithms selected by NIST to standardize post-quantum cryptography standards. FALCON is a digital signature algorithm based on NTRU lattice with difficulty based on the short vector problem. While Kyber and Dilithium algorithms are only based on NTT operations, FALCON uses both NTT and FFT, which is a barrier to Falcon’s hardware implementation. This paper proposes a compact architecture that supports FFT and NTT for the FALCON algorithm. First, we propose an architecture that executes floating-point and complex number operations with theoretic speed and low area requirements. Then, we design a processing element that performs FFT with complex number operations. Finally, we propose an NTT architecture that reuses the resources used for FFT execution with high parallelism. The FPGA implementation results show that the FFT execution takes 2.048k CCs and 4.608k CCs for the 512-point and 1024-point FFT/IFFT, respectively. The NTT/INTT operation takes 288 CCs for FALCON-512 and 640 CCs for FALCON-1024. The speedup improves from 3× to 9.6× for FFT and up to 18× for NTT implementations compared to previous studies.","2158-1525","979-8-3503-5683-0","10.1109/ISCAS56072.2025.11043460","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11043460","FFT;NTT;FALCON;accelerator;Post-Quantum Cryptography","Lattices;Parallel processing;NIST;Vectors;Hardware;Parallel architectures;Cryptography;Standards;Field programmable gate arrays;Digital signatures","","1","","34","IEEE","27 Jun 2025","25-28 May 2025","25-28 May 2025","IEEE","IEEE Conferences"
"Low-Latency FFT/iFFT RTL Implementation for the FALCON Post-Quantum Signature Algorithm","A. Ortega; L. Bossuet; B. Colombier","Laboratoire Hubert Curien UMR 5516, Université Jean Monnet Saint-Etienne, CNRS, Institut d Optique Graduate School, SAINT-ETIENNE, France; Laboratoire Hubert Curien UMR 5516, Université Jean Monnet Saint-Etienne, CNRS, Institut d Optique Graduate School, SAINT-ETIENNE, France; Laboratoire Hubert Curien UMR 5516, Université Jean Monnet Saint-Etienne, CNRS, Institut d Optique Graduate School, SAINT-ETIENNE, France",2025 IEEE 33rd Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),"28 May 2025","2025","","","288","288","FALCON is one of the three post-quantum digital signature schemes that have been recently standardized by NIST due to the future threat that quantum computers pose to classical cryptographic schemes. Despite this, there is currently no full hardware register-transfer level (RTL) implementation of FALCON. One possible explanation is the rather unusual requirement for a double-precision floating-point Fast Fourier Transform (FFT), which is used in FALCON to speed up polynomial multiplication. In this article, we describe a full RTL implementation of the FFT and its inverse, on FPGA, tailored for the specific context of FALCON. Fitting in this specific cryptographic context, the implementation is also constant-time. The proposed hardware implementation achieves the best latency of the literature. This work paves the way for the first complete fine-tuned RTL implementation of FALCON as well as the security evaluation of such implementations against physical attacks.","2576-2621","979-8-3315-0281-2","10.1109/FCCM62733.2025.00067","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11008987","hardware;implementation;fpga;fast fourier transform;falcon;post-quantum cryptography","Quantum computing;Fast Fourier transforms;Fitting;NIST;Register transfer level;Hardware;Polynomials;Cryptography;Low latency communication;Field programmable gate arrays","","","","3","IEEE","28 May 2025","4-7 May 2025","4-7 May 2025","IEEE","IEEE Conferences"
"PQNTRU: Acceleration of NTRU-Based Schemes via Customized Post-Quantum Processor","Z. Ye; J. Huang; T. Huang; Y. Bai; J. Li; H. Zhang; G. Li; D. Chen; R. C. C. Cheung; K. Huang","College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; BNU-HKBU United International College, Zhuhai, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China; BNU-HKBU United International College, Zhuhai, China; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China; College of Information Science & Electronic Engineering, Zhejiang University, Hangzhou, China",IEEE Transactions on Computers,"8 Apr 2025","2025","74","5","1649","1662","Post-quantum cryptography (PQC) has rapidly evolved in response to the emergence of quantum computers, with the US National Institute of Standards and Technology (NIST) selecting four finalist algorithms for PQC standardization in 2022, including the Falcon digital signature scheme. Hawk is currently the only lattice-based candidate in NIST Round 2 additional signatures. Falcon and Hawk are based on the NTRU lattice, offering compact signatures, fast generation, and verification suitable for deployment on resource-constrained Internet-of-Things (IoT) devices. Despite the popularity of ML-DSA and ML-KEM, research on NTRU-based schemes has been limited due to their complex algorithms and operations. Falcon and Hawk's performance remains constrained by the lack of parallel execution in crucial operations like the Number Theoretic Transform (NTT) and Fast Fourier Transform (FFT), with data dependency being a significant bottleneck. This paper enhances NTRU-based schemes Falcon and Hawk through hardware/software co-design on a customized Single-Instruction-Multiple-Data (SIMD) processor, proposing new SIMD hardware units and instructions to expedite these schemes along with software optimizations to boost performance. Our NTT optimization includes a novel layer merging technique for SIMD architecture to reduce memory accesses, and the use of modular algorithms (Signed Montgomery and Improved Plantard) targets various modulus data widths to enhance performance. We explore applying layer merging to accelerate fixed-point FFT at the SIMD instruction level and devise a dual-issue parser to streamline assembly code organization to maximize dual-issue utilization. A System-on-chip (SoC) architecture is devised to improve the practical application of the processor in real-world scenarios. Evaluation on 28 $nm$nm technology and field programmable gate array (FPGA) platform shows that our design and optimizations can increase the performance of Hawk signature generation and verification by over 7$\times$×.","1557-9956","","10.1109/TC.2025.3540647","China National Key R&D Program(grant numbers:2022YFB4400704); Hong Kong Innovation and Technology Commission(grant numbers:ITS/098/22); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10880097","Post-quantum cryptography;NTRU;falcon;hawk;RISC-V;system-on-chip","Single instruction multiple data;NIST;Internet of Things;Polynomials;Digital signatures;Optimization;Computers;Computer architecture;Lattices;Hardware","","3","","47","IEEE","11 Feb 2025","May 2025","","IEEE","IEEE Journals"
