"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GCLVQGD8","conferencePaper","2019","Wei, Xuechao; Liang, Yun; Cong, Jason","Overcoming Data Transfer Bottlenecks in FPGA-based DNN Accelerators via Layer Conscious Memory Management","2019 56th ACM/IEEE Design Automation Conference (DAC)","","0738-100X","","https://ieeexplore.ieee.org/document/8806999/","Deep Neural Networks (DNNs) are becoming more and more complex than before. Previous hardware accelerator designs neglect the layer diversity in terms of computation and communication behavior. On-chip memory resources are underutilized for the memory bounded layers, leading to suboptimal performance. In addition, the increasing complexity of DNN structures makes it difficult to do on-chip memory allocation. To address these issues, we propose a layer conscious memory management framework for FPGA-based DNN hardware accelerators. Our framework exploits the layer diversity and the disjoint lifespan information of memory buffers to efficiently utilize the on-chip memory to improve the performance of the layers bounded by memory and thus the entire performance of DNNs. It consists of four key techniques working coordinately with each other. We first devise a memory allocation algorithm to allocate on-chip buffers for the memory bound layers. In addition, buffer sharing between different layers is applied to improve on-chip memory utilization. Finally, buffer prefetching and splitting are used to further reduce latency. Experiments show that our techniques can achieve 1.36X performance improvement compared with previous designs.","2019-06","2026-04-09 14:40:27","2026-05-03 10:04:31","2026-04-09 14:39:41","1-6","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 0738-100X","","/Users/mac/Zotero/storage/N7F94RVG/Wei et al. - 2019 - Overcoming Data Transfer Bottlenecks in FPGA-based DNN Accelerators via Layer Conscious Memory Manag.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2019 56th ACM/IEEE Design Automation Conference (DAC)","","","","","","","","","","","","","","",""
"ZNUMUPQE","conferencePaper","2021","Karabulut, Emre; Aysu, Aydin","FALCON Down: Breaking FALCON Post-Quantum Signature Scheme through Side-Channel Attacks","2021 58th ACM/IEEE Design Automation Conference (DAC)","","0738-100X","10.1109/DAC18074.2021.9586131","https://ieeexplore.ieee.org/document/9586131/","This paper proposes the first side-channel attack on FALCON—a NIST Round-3 finalist for the post-quantum digital signature standard. We demonstrate a known-plaintext attack that uses the electromagnetic measurements of the device to extract the secret signing keys, which then can be used to forge signatures on arbitrary messages. The proposed attack targets the unique floating-point multiplications within FALCON’s Fast Fourier Transform through a novel extend-and-prune strategy that extracts the sign, mantissa, and exponent variables without false positives. The extracted floating-point values are then mapped back to the secret key’s coefficients. Our attack, notably, does not require pre-characterizing the power profile of the target device or crafting special inputs. Instead, the statistical differences on obtained traces are sufficient to successfully execute our proposed differential electromagnetic analysis. The results on an ARM-Cortex-M4 running the FALCON NIST’s reference software show that approximately 10k measurements are sufficient to extract the entire key.","2021-12","2026-04-09 16:26:17","2026-05-03 10:17:06","2026-04-09 16:25:57","691-696","","","","","","FALCON Down","","","","","","","","","","","","IEEE Xplore","","ISSN: 0738-100X","<p>Export Date: 02 May 2026; Cited By: 52; CODEN: PDAWD</p>","/Users/mac/Zotero/storage/JT5JWL5E/Karabulut and Aysu - 2021 - FALCON Down Breaking FALCON Post-Quantum Signature Scheme through Side-Channel Attacks.pdf","","Authentication; Post quantum cryptography; post-quantum cryptography; Signature Scheme; Post quantum; Quantum signature; Side channel attack; Side-channel attacks; Digital arithmetic; Breakings; Public key cryptography; Fast Fourier transforms; Quantum digital signatures; Digital signature standard; digital signatures; Electromagnetic measurement; Known-plaintext attacks; side-channel attacks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021 58th ACM/IEEE Design Automation Conference (DAC)","","","","","","","","","","","","","","",""
"2G4V7Y9T","conferencePaper","2019","Yang, Chen; Geng, Tong; Wang, Tianqi; Patel, Rushi; Xiong, Qingqing; Sanaullah, Ahmed; Wu, Chunshu; Sheng, Jiayi; Lin, Charles; Sachdeva, Vipin; Sherman, Woody; Herbordt, Martin","Fully Integrated FPGA Molecular Dynamics Simulations","SC19: International Conference for High Performance Computing, Networking, Storage and Analysis","","2167-4337","10.1145/3295500.3356179","https://ieeexplore.ieee.org/document/10902246/","The implementation of Molecular Dynamics (MD) on FPGAs has received substantial attention. Previous work, however, has consisted of either proof-of-concept implementations of components, usually the range-limited force; full systems, but with much of the work shared by the host CPU; or prototype demonstrations, e.g., using OpenCL, that neither implement a whole system nor have competitive performance. In this paper, we present what we believe to be the first full-scale FPGA-based simulation engine, and show that its performance is competitive with a GPU (running Amber in an industrial production environment). The system features on-chip particle data storage and management, short- and long-range force evaluation, as well as bonded forces, motion update, and particle mi-gration. Other contributions of this work include exploring numerous architectural trade-offs and analysis of various mappings schemes among particles/cells and the various on-chip compute units. The potential impact is that this system promises to be the basis for long timescale Molecular Dynamics with a commodity cluster.","2019-11","2026-04-09 20:16:28","2026-05-03 10:00:51","2026-04-09 20:15:07","1-31","","","","","","","","","","","","","","","","","","IEEE Xplore","","ISSN: 2167-4337","","/Users/mac/Zotero/storage/CF7V74D9/Yang et al. - 2019 - Fully Integrated FPGA Molecular Dynamics Simulations.pdf; /Users/mac/Zotero/storage/QND7ARLU/Yang et al. - 2019 - Fully integrated FPGA molecular dynamics simulations.pdf; /Users/mac/Zotero/storage/YCIDVSI7/Yang et al. - 2019 - Fully integrated FPGA molecular dynamics simulations.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SC19: International Conference for High Performance Computing, Networking, Storage and Analysis","","","","","","","","","","","","","","",""
"9WVC4C9M","journalArticle","2025","Tu, Yazheng; Xie, Jiafeng","EMINEM: Efficient FPGA Implementation of Mixed-RadIx NTT Hardware AccElerators for NIST Post-QuantuM Cryptography Falcon, Dilithium, and HAWK","ACM Trans. Reconfigurable Technol. Syst.","","1936-7406","10.1145/3771287","https://dl.acm.org/doi/10.1145/3771287","The advent of quantum computing poses a significant threat to modern cryptography. To address this challenge, the National Institute of Standards and Technology (NIST) has initiated the Post-Quantum Cryptography (PQC) standardization process, and several algorithms have been selected (a few are still under consideration in the additional standardization process). Among these schemes, lattice-based PQC has emerged as a promising approach and garnered substantial attention from the implementation community, especially on the hardware platforms. Notably, the Field-Programmable Gate Array (FPGA) has gained considerable attention as a convenient platform for hardware implementation, not only from NIST but also from the research community, as reflected by the related recommendations from NIST and the number of works reported recently.This work follows the existing trend of developing novel FPGA implementations for PQC. It is worth mentioning that the polynomial multiplication in these NIST lattice-based PQC algorithms can be implemented with Number Theoretic Transform (NTT) for efficiency. Nevertheless, there remains a lack of novel and universal NTT methods for polynomial multiplication at different sizes. For instance, for  \(n=512\)  (Falcon and HAWK), the existing works are mostly limited to the Radix-2 NTT (other methods like Radix-4 or Radix-8 cannot be directly applied). To fill the research gap, this article presents a novel design framework, i.e., Efficient Mixed-RadIx NTT hardware accElerators for NIST post-quantuM cryptography (EMINEM), specially tailored for targeted schemes. Our design leverages Radix-4 for polynomial sizes of 256 and 1,024, while introducing a hybrid Radix-2/4 strategy for NTT of length 512 and achieving comparable performance to pure Radix-4 at other lengths. In total, our contributions include: (i) a generic Radix-4/Mixed-Radix NTT algorithm is proposed for  \(n=256\) , 512, and 1,024; (ii) an efficient NTT hardware accelerator is designed with the help of a new memory access pattern and some optimization techniques; (iii) two types of butterfly architectures are developed to obtain pure Radix-4 time complexity and low resource usage, respectively; (iv) a detailed implementation and comparison showcase the superior performance of the proposed design strategy. Overall, the proposed strategy enables the efficient deployment of Mixed-Radix NTT in targeted NIST schemes, surpassing the limitations of the conventional Radix-2 approach for 512-length NTT designs. The proposed design offers a significant advancement in the field, facilitating efficient FPGA acceleration of PQC standards.","2025-12-04","2026-04-14 14:54:38","2026-05-03 10:19:22","2026-04-14 14:53:09","52:1–52:25","","4","18","","","EMINEM","","","","","","","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 1</p>","/Users/mac/Zotero/storage/B2X7XBPS/Tu and Xie - 2025 - EMINEM Efficient FPGA Implementation of Mixed-RadIx NTT Hardware AccElerators for NIST Post-QuantuM.pdf","","Dilithium; Hardware security; Network security; Post quantum cryptography; Quantum computers; Quantum cryptography; Lattice-based; Acceleration; Field programmable gate arrays (FPGA); FPGA; Integrated circuit design; National Institute of Standards and Technology; Standardization; Computer hardware; Field programmables; Field-programmable gate array; Programmable gate array; Number theory; Number-theoretic transforms; Hardware accelerators; Lattice theory; Polynomial approximation; hardware accelerator; Logic design; HAWK; lattice-based; Mixed radixes; Mixed-Radix NTT; Mixed-radix number theoretic transform; National institute of standard and technology post-quantum cryptography falcon; NIST PQC Falcon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3PSRBPS4","conferencePaper","2026","Kong, Liang; Deng, Xianglong; Fan, Guang; Fan, Shengyu; Chen, Lei; Zhu, Yilan; Yang, Geng; Chang, Yisong; Yan, Shoumeng; Zhang, Mingzhe","Falcon: Algorithm-Hardware Co-Design for Efficient Fully Homomorphic Encryption Accelerator","Proceedings of the 31st ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 2","979-8-4007-2359-9","","10.1145/3779212.3790160","https://dl.acm.org/doi/10.1145/3779212.3790160","Fully homomorphic encryption (FHE) enables computation on encrypted data without compromising privacy, positioning it as a promising solution for secure cloud computing. However, its substantial computational overhead impedes practical deployment, prompting the development of dedicated hardware accelerators. In practice, when deploying cryptographic algorithm optimizations on FHE accelerators, hardware constraints typically such as limited memory capacity, often lead to a disparity between theoretical algorithmic advantage and achievable hardware efficiency.  We present Falcon, an algorithm-hardware co-design for efficient FHE acceleration. We first conduct computational analysis of the prevalent minimum key-switching method, and propose hardware-oriented algorithmic optimizations that substantially reduce computational overhead. We then introduce further refinements to decrease the inherent inter-cluster communication overhead in multi-cluster architectures, while preserving computational advantages. By characterizing the arithmetic patterns intrinsic to primary primitives, we devise hardware-specific arithmetic fusion and functional reuse across computational units. Finally, we present a memory-adaptive strategy to effectively deploy Falcon to prior accelerators under constrained on-chip memory budgets. Experimental results demonstrate that applying our algorithm–hardware co-design delivers up to a 1.48× speedup with a negligible area overhead (only a 0.8% increase).","2026-03-22","2026-04-14 14:54:38","2026-05-03 10:37:08","2026-04-14","715–731","","","","","","Falcon","ASPLOS '26","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/mac/Zotero/storage/UHCQ5E9H/Kong et al. - 2026 - Falcon Algorithm-Hardware Co-Design for Efficient Fully Homomorphic Encryption Accelerator.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8GZS2SAS","conferencePaper","2024","He, Pengzhou; Mongirdas, Ben; Koç, Çetin Kaya; Xie, Jiafeng","LAMP: Efficient Implementation of Lightweight Accelerator for Polynomial MultiPlication, From Falcon to RBLWE-ENC","Proceedings of the Great Lakes Symposium on VLSI 2024","979-8-4007-0605-9","","10.1145/3649476.3658731","https://dl.acm.org/doi/10.1145/3649476.3658731","Post-quantum cryptography (PQC) has drawn significant attention from the hardware design research community. In particular, efficient implementation for major components of PQC algorithms like polynomial multiplication has been a hot topic recently. Following this trend, in this paper, we propose a novel hardware-implemented Lightweight Accelerator for the large integer polynomial MultiPlication (LAMP) used in PQC schemes. Specifically, we target the polynomial multiplications not bound by fixed fast algorithms like Number Theoretic Transform (NTT), i.e., Falcon (one of the National Institute of Standards and Technology (NIST) selected PQC algorithms) and Ring Binary Learning-with-Errors based encryption scheme (RBLWE-ENC, a promising lightweight PQC scheme). Overall, we have carried out three layers of innovative efforts. (i) A new lightweight computation strategy for the targeted polynomial multiplication is proposed; (ii) The new accelerator is then designed based on the proposed algorithm (applicable for both targeted schemes); (iii) A thorough evaluation process is carried out to showcase the superior performance of the proposed accelerator over the competing designs, e.g., at least 21.2% less area-delay product (ADP) when LAMP is used for RBLWE-ENC (on Virtex-7 device). The proposed work is efficient and interesting, and we hope this outcome can facilitate PQC development.","2024-06-12","2026-04-14 14:54:38","2026-05-03 10:07:22","2026-04-14","210–215","","","","","","LAMP","GLSVLSI '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 2</p>","/Users/mac/Zotero/storage/9AMGKTP6/He et al. - 2024 - LAMP Efficient Implementation of Lightweight Accelerator for Polynomial MultiPlication, From Falcon.pdf","","Falcon; Post quantum cryptography; Quantum cryptography; Field programmable gate arrays (FPGA); Integrated circuit design; PQC; Polynomials; Cryptography algorithms; Polynomial multiplication; Efficient implementation; Hardware design; Design research; FPGA platform; hardware design; lightweight polynomial multiplication accelerator; Lightweight polynomial multiplication accelerator; RBLWE-ENC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UP95UJDX","journalArticle","2024","Bao, Tianyou; He, Pengzhou; Xie, Jiafeng; Jacinto, H S.","AEKA: FPGA Implementation of Area-Efficient Karatsuba Accelerator for Ring-Binary-LWE-Based Lightweight PQC","ACM Trans. Reconfigurable Technol. Syst.","","1936-7406","10.1145/3637215","https://dl.acm.org/doi/10.1145/3637215","Lightweight PQC-related research and development have gradually gained attention from the research community recently. Ring-Binary-Learning-with-Errors (RBLWE)-based encryption scheme (RBLWE-ENC), a promising lightweight PQC based on small parameter sets to fit related applications (but not in favor of deploying popular fast algorithms like number theoretic transform). To solve this problem, in this article, we present a novel implementation of hardware acceleration for RBLWE-ENC based on Karatsuba algorithm, particularly on the field-programmable gate array (FPGA) platform. In detail, we have proposed an area-efficient Karatsuba Accelerator (AEKA) for RBLWE-ENC, based on three layers of innovative efforts. First of all, we reformulate the signal processing sequence within the major arithmetic component of the KA-based polynomial multiplication for RBLWE-ENC to obtain a new algorithm. Then, we have designed the proposed algorithm into a new hardware accelerator with several novel algorithm-to-architecture mapping techniques. Finally, we have conducted thorough complexity analysis and comparison to demonstrate the efficiency of the proposed accelerator, e.g., it involves 62.5% higher throughput and 60.2% less area-delay product (ADP) than the state-of-the-art design for n=512 (Virtex-7 device, similar setup). The proposed AEKA design strategy is highly efficient on the FPGA devices, i.e., small resource usage with superior timing, which can be integrated with other necessary systems for lightweight-oriented high-performance applications (e.g., servers). The outcome of this work is also expected to generate impacts for lightweight PQC advancement.","2024-04-30","2026-04-14 14:54:38","2026-05-03 09:37:29","2026-04-14 14:53:15","29:1–29:23","","2","17","","","AEKA","","","","","","","","","","","","ACM Digital Library","","","","/Users/mac/Zotero/storage/DLZ5T7IF/Bao et al. - 2024 - AEKA FPGA Implementation of Area-Efficient Karatsuba Accelerator for Ring-Binary-LWE-Based Lightwei.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKC2U7BP","conferencePaper","2025","More, Geetesh; Ray, Suprio; Kent, Kenneth B.","FALCON: FPGA Accelerated Lightweight Updatable Learned Index","Proceedings of the 37th International Conference on Scalable Scientific Data Management","979-8-4007-1462-7","","10.1145/3733723.3733737","https://dl.acm.org/doi/10.1145/3733723.3733737","Conventional database indexes, although popular, are not memory efficient and usually do not take the data distribution of the underlying workloads into account, which may lead to performance issues. In recent years, substantial research has focused on enhancing the performance of index lookups and reducing the memory footprint of the indexes. One promising research area is the development of learned indexes, which can deliver notable performance gains over traditional indexing methods. Methods like ALEX and LIPP facilitate updates in learned index frameworks but at the cost of higher memory consumption and slower query performance. We introduce a lightweight updatable learned index, called FALCON (FPGA Accelerated Lightweight COmpression-based learNed index). FALCON is the first FPGA-based lightweight learned index that supports updates and insertion. This approach devises an effective compression technique facilitating faster key lookups. Our experiments involved first evaluating a CPU-based implementation of our approach against existing leading learned index approaches. With a CPU-based implementation of FALCON, we observed an average performance boost of 25 × during the Build phase and more than 2.2 × speedup during the Lookup phase on SOSD benchmark datasets, along with a 26 × improvement in memory efficiency. We also evaluated FALCON’s performance with frequent updates, in which it achieved around 3.5 × better memory efficiency compared to existing updatable learned indexes, such as ALEX. For the datasets exhibiting uniform distribution, we achieved a similar update throughput as ALEX, while in the case of skewed distribution, ALEX performed better. Nonetheless, runtime and memory usage usually escalate as data size scales, prompting us to employ FPGA to accelerate the build phase of our approach. We then evaluated FALCON’s FPGA-based implementation against the CPU-based counterpart, in which it achieved a build stage speedup of 17 × , and a total speedup of 5.5 ×. Against the FPGA-based RadixSpline, we achieved a total of 7.6 × better performance on FPGA.","2025-06-22","2026-04-14 14:54:38","2026-05-03 10:26:22","2026-04-14","1–12","","","","","","FALCON","SSDBM '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 1</p>","/Users/mac/Zotero/storage/4366J82I/More et al. - 2025 - FALCON FPGA Accelerated Lightweight Updatable Learned Index.pdf","","Field programmable gate arrays (FPGA); FPGA; Performance; Benchmarking; Efficiency; Query processing; Memory efficient; Conventional database; Data distribution; Database index; Database systems; DBMS.; Indexing (of information); Learned index; Learned Index; Lookups; Memory efficiency; Performance issues; SQL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8I92IXZB","journalArticle","2025","Karl, Patrick; Schupp, Jonas; Sigl, Georg","Performance and Communication Cost of Hardware Accelerators for Hashing in Post-Quantum Cryptography","ACM Trans. Embed. Comput. Syst.","","1539-9087","10.1145/3676965","https://dl.acm.org/doi/10.1145/3676965","SPHINCS+ is a signature scheme included in the first NIST post-quantum standard that bases its security on the underlying hash primitive. As most of the runtime of SPHINCS+ is caused by the evaluation of several hash- and pseudo-random functions, offloading this computation to dedicated hardware accelerators is a natural step. In this work, we evaluate different architectures for hardware acceleration of such a hash primitive with respect to its use-case and evaluate them in the context of SPHINCS+. We attach hardware accelerators for different hash primitives (SHAKE256 and Ascon-Xof for both full and round-reduced versions) to CPU interfaces having different transfer speeds. We show that for most use-cases, data transfer determines the overall performance if accelerators are equipped with FIFOs and that reducing the number of rounds in the permutation does not necessarily lead to significant performance improvements when using hardware acceleration.This work extends on a conference paper accepted at COSADE’24, first published in&nbsp;[19], and written by the same authors, where different architectures for hardware accelerators of hash functions are benchmarked and evaluated for SPHINCS+ as a case study. In this article, we provide results for additional parameter sets for SPHINCS+ and improve the performance of one of the accelerators by adding an additional RISC-V instruction for faster absorption. We then extend the performance benchmark by including the algorithms CRYSTALS-Kyber, CRYSTALS-Dilithium, and Falcon. Finally, we provide a power/energy comparison for the accelerators.","2025-09-14","2026-04-14 14:54:38","2026-05-03 10:17:23","2026-04-14 14:53:20","66:1–66:31","","5","24","","","","","","","","","","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 7</p>","/Users/mac/Zotero/storage/PEXFBM92/Karl et al. - 2025 - Performance and Communication Cost of Hardware Accelerators for Hashing in Post-Quantum Cryptography.pdf","","Post quantum cryptography; post-quantum cryptography; Quantum communication; Signature Scheme; Acceleration; Hardware acceleration; Performance; Computer hardware; Benchmarking; Hardware-software codesign; Hardware accelerators; Hash functions; NIST PQC; Reduced instruction set computing; Communication cost; hardware acceleration; Data transfer; Co-designs; Function evaluation; Performance costs; RISC-V HW/SW co-design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVMNI4VE","journalArticle","2024","Carril, Xavier; Kardaris, Charalampos; Ribes-GonzáLez, Jordi; Farràs, Oriol; Hernandez, Carles; Kostalabros, Vatistas; González-Jiménez, Joel Ulises; Moretó, Miquel","Hardware Acceleration for High-Volume Operations of CRYSTALS-Kyber and CRYSTALS-Dilithium","ACM Trans. Reconfigurable Technol. Syst.","","1936-7406","10.1145/3675172","https://dl.acm.org/doi/10.1145/3675172","Many high-demand digital services need to perform several cryptographic operations, such as key exchange or security credentialing, in a concise amount of time. In turn, the security of some of these cryptographic schemes is threatened by advances in quantum computing, as quantum computer could break their security in the near future. Post-quantum cryptography (PQC) is an emerging field that studies cryptographic algorithms that resist such attacks. The National Institute of Standards and Technology (NIST) has selected the CRYSTALS-Kyber Key Encapsulation Mechanism and the CRYSTALS-Dilithium Digital Signature algorithm as primary PQC standards. In this article, we present field-programmable gate array (FPGA)-based hardware accelerators for high-volume operations of both schemes. We apply high-level synthesis (HLS) for hardware optimization, leveraging a batch processing approach to maximize the memory throughput and applying custom HLS logic to specific algorithmic components. Using reconfigurable FPGAs, we show that our hardware accelerators achieve speedups between 3 \(\times\)  and 9 \(\times\) over software baseline implementations, even over ones leveraging CPU vector architectures. Furthermore, the methods used in this study can also be extended to the new CRYSTALS-based NIST FIPS drafts, ML-KEM and ML-DSA, with similar acceleration results.","2024-09-30","2026-04-14 14:54:38","2026-05-03 10:05:43","2026-04-14 14:53:21","41:1–41:26","","3","17","","","","","","","","","","","","","","","ACM Digital Library","","","","/Users/mac/Zotero/storage/HUCL53JW/Carril et al. - 2024 - Hardware Acceleration for High-Volume Operations of CRYSTALS-Kyber and CRYSTALS-Dilithium.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8T7W8AYC","journalArticle","2024","Lopez-Valdivieso, Jonathan; Cumplido, Rene","Design and Implementation of Hardware-Software Architecture Based on Hashes for SPHINCS+","ACM Trans. Reconfigurable Technol. Syst.","","1936-7406","10.1145/3653459","https://dl.acm.org/doi/10.1145/3653459","Advances in quantum computing have posed a future threat to today’s cryptography. With the advent of these quantum computers, security could be compromised. Therefore, the National Institute of Standards and Technology (NIST) has issued a request for proposals to standardize algorithms for post-quantum cryptography (PQC), which is considered difficult to solve for both classical and quantum computers. Among the proposed technologies, the most popular choices are lattice-based (shortest vector problem) and hash-based approaches. Other important categories are public key cryptography (PKE) and digital signatures. Within the realm of digital signatures lies SPHINCS+. However, there are few implementations of this scheme in hardware architectures. In this article, we present a hardware-software architecture for the SPHINCS+ scheme. We utilized a free RISC-V (Reduced Instruction Set Computer) processor synthesized on a Field Programmable Gate Array (FPGA), primarily integrating two accelerator modules for Keccak-1600 and the Haraka hash function. Additionally, modifications were made to the processor to accommodate the execution of these added modules. Our implementation yielded a 15-fold increase in performance with the SHAKE-256 function and nearly 90-fold improvement when using Haraka, compared to the reference software. Moreover, it is more compact compared to related works. This implementation was realized on a Xilinx FPGA Arty S7: Spartan-7.","2024-10-08","2026-04-14 14:54:38","2026-05-03 10:35:40","2026-04-14 14:53:23","54:1–54:22","","4","17","","","","","","","","","","","","","","","ACM Digital Library","","","","/Users/mac/Zotero/storage/RR4ZWI59/Lopez-Valdivieso and Cumplido - 2024 - Design and Implementation of Hardware-Software Architecture Based on Hashes for SPHINCS+.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JMBGSCYG","conferencePaper","2025","Singhvi, Arjun; Dukkipati, Nandita; Chandra, Prashant; Wassel, Hassan M. G.; Sharma, Naveen Kr.; Rebello, Anthony; Schuh, Henry; Kumar, Praveen; Montazeri, Behnam; Bansod, Neelesh; Thomas, Sarin; Cho, Inho; Seibert, Hyojeong Lee; Wu, Baijun; Yang, Rui; Li, Yuliang; Huang, Kai; Yin, Qianwen; Agarwal, Abhishek; Vaduvatha, Srinivas; Wang, Weihuang; Moshref, Masoud; Ji, Tao; Wetherall, David; Vahdat, Amin","Falcon: A Reliable, Low Latency Hardware Transport","Proceedings of the ACM SIGCOMM 2025 Conference","979-8-4007-1524-2","","10.1145/3718958.3754353","https://dl.acm.org/doi/10.1145/3718958.3754353","Hardware transports such as RoCE deliver high performance with minimal host CPU, but are best suited to special-purpose deployments that limit their use, e.g., backend networks or Ethernet with Priority Flow Control (PFC). We introduce Falcon, the first hardware transport that supports multiple Upper Layer Protocols (ULPs) and heterogeneous application workloads in general-purpose Ethernet datacenter environments (with losses and without special switch support). Key design elements include: delay-based congestion control with multipath load balancing; a layered design with a simple request-response transaction interface for multi-ULP support; hardware-based retransmissions and error-handling for scalability; and a programmable engine for flexibility. The first Falcon hardware implementation delivers a peak performance of 200 Gbps, 120 Mops/sec, with near-optimal operation completion times that are up to 8× lower than CX-7 RoCE under network congestion, and up to 65% higher goodput under lossy conditions.","2025-08-27","2026-04-14 14:54:38","2026-05-03 10:37:13","2026-04-14","248–263","","","","","","Falcon","SIGCOMM '25","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 0</p>","/Users/mac/Zotero/storage/KAU3TLPG/Singhvi et al. - 2025 - Falcon A Reliable, Low Latency Hardware Transport.pdf","","Performance; Computer hardware; Internet protocols; Low latency; Congestion control (communication); Traffic congestion; Interfaces (computer); Balancing; Datacenter; Data center networks; Datacenter Networks; Delay-based congestion control; Design elements; Ethernet; Flow control; Hardware transport; Hardware Transport; Human engineering; Network Interface Card; Network interface cards; Remote direct memory access; Remote Direct Memory Access; Upper-layer protocols","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2LXRCFSG","conferencePaper","2024","Pagliarini, Samuel; Aikata, Aikata; Imran, Malik; Sinha Roy, Sujoy","REPQC: Reverse Engineering and Backdooring Hardware Accelerators for Post-quantum Cryptography","Proceedings of the 19th ACM Asia Conference on Computer and Communications Security","979-8-4007-0482-6","","10.1145/3634737.3657016","https://dl.acm.org/doi/10.1145/3634737.3657016","Significant research efforts have been dedicated to designing cryptographic algorithms that are quantum-resistant. The motivation is clear: robust quantum computers, once available, will render current cryptographic standards vulnerable. Thus, we need new Post-Quantum Cryptography (PQC) algorithms, and, due to the inherent complexity of such algorithms, there is also a demand to accelerate them in hardware. In this paper, we show that PQC hardware accelerators can be backdoored by two different adversaries located in the chip supply chain. We propose REPQC, a sophisticated reverse engineering algorithm that can be employed to confidently identify hashing operations (i.e., Keccak) within the PQC accelerator - the location of which serves as an anchor for finding secret information to be leaked. Armed with REPQC, an adversary proceeds to insert malicious logic in the form of a stealthy Hardware Trojan Horse (HTH). Using Dilithium as a study case, our results demonstrate that HTHs that increase the accelerator's layout density by as little as 0.1% can be inserted without any impact on the performance of the circuit and with a marginal increase in power consumption. An essential aspect is that the entire reverse engineering in REPQC is automated, and so is the HTH insertion that follows it, empowering adversaries to explore multiple HTH designs and identify the most suitable one.","2024-07-01","2026-04-14 14:54:38","2026-05-03 10:21:39","2026-04-14","533–547","","","","","","REPQC","ASIA CCS '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","<p>Export Date: 02 May 2026; Cited By: 2</p>","/Users/mac/Zotero/storage/RYHZSCGY/Pagliarini et al. - 2024 - REPQC Reverse Engineering and Backdooring Hardware Accelerators for Post-quantum Cryptography.pdf","","Hardware security; Post quantum cryptography; Quantum computers; Quantum cryptography; Post-Quantum Cryptography; Computer hardware; 'current; Computational complexity; Cryptographic algorithms; Cryptography algorithms; CryptoGraphics; Hardware accelerators; Quanta computers; Supply chains; Malware; Backdoors; Hardware Accelerators; Hardware Trojan horse; Hardware Trojan Horses; Research efforts; Reverse engineering; Reverse Engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
